idx,p_yes,rank_yes,rank_no
0,0.989149272441864,1,2
1,1.0,1,5
2,1.0,1,4
3,1.0,1,5
4,1.8907230980858003e-07,4,1
5,2.640670615505769e-08,5,1
6,1.990904507920277e-08,7,1
7,4.368750694538903e-09,7,1
8,8.707049346412532e-06,4,1
9,3.174799076077761e-06,3,1
10,5.964756383036729e-06,2,1
11,5.427599262475269e-06,2,1
12,3.441258013481274e-05,3,1
13,3.195565795977018e-06,3,1
14,1.027323492053256e-06,3,1
15,1.695289455483362e-07,3,1
16,2.205004960842416e-07,4,1
17,1.6090760723841413e-08,6,1
18,2.1320904153299125e-08,8,1
19,9.005755252644576e-09,7,1
20,1.9175585919128935e-07,3,1
21,4.887986548851586e-08,3,1
22,3.1743702777475846e-08,5,1
23,1.4238368706287474e-08,6,1
24,3.3408404931378755e-08,7,1
25,3.226100275810495e-08,5,1
26,3.212205612612706e-08,7,1
27,1.8482277042153328e-08,6,1
28,1.0,1,4
29,1.0,1,5
30,1.0,1,2
31,1.0,1,5
32,1.8907230980858003e-07,4,1
33,2.640670615505769e-08,5,1
34,1.990904507920277e-08,7,1
35,4.368750694538903e-09,7,1
36,8.707049346412532e-06,4,1
37,3.174799076077761e-06,3,1
38,5.964756383036729e-06,2,1
39,5.427599262475269e-06,2,1
40,3.441258013481274e-05,3,1
41,3.195565795977018e-06,3,1
42,1.027323492053256e-06,3,1
43,1.695289455483362e-07,3,1
44,2.205004960842416e-07,4,1
45,1.6090760723841413e-08,6,1
46,2.1320904153299125e-08,8,1
47,9.005755252644576e-09,7,1
48,1.9175585919128935e-07,3,1
49,4.887986548851586e-08,3,1
50,3.1743702777475846e-08,5,1
51,1.4238368706287474e-08,6,1
52,3.3408404931378755e-08,7,1
53,3.226100275810495e-08,5,1
54,3.212205612612706e-08,7,1
55,1.8482277042153328e-08,6,1
56,1.0,1,3
57,1.0,1,6
58,1.0,1,5
59,1.0,1,6
60,1.0099711289512925e-08,7,1
61,8.147311270079172e-09,5,1
62,2.208235150291671e-09,6,1
63,1.3549666944001615e-09,7,1
64,1.3322798864123797e-08,5,1
65,2.9373863341675133e-08,4,1
66,3.549852412021437e-09,7,1
67,8.213342006513358e-09,7,1
68,2.4621631400378874e-09,8,1
69,2.412597899237312e-09,7,1
70,1.1500989050006183e-09,7,1
71,1.808224459054486e-09,6,1
72,3.925927138936913e-09,7,1
73,2.9377713595124533e-09,5,1
74,1.5697606547959708e-09,7,1
75,1.90620452755752e-09,6,1
76,0.9999962449073792,1,2
77,0.999998927116394,1,2
78,0.9999955296516418,1,2
79,0.9999997615814209,1,3
80,8.372825988089971e-09,10,1
81,5.67184743616167e-09,10,1
82,3.101632728430559e-09,13,1
83,2.0389401278464447e-09,11,1
84,1.0420285434520338e-05,4,1
85,2.665228464593383e-07,5,1
86,2.711748948058812e-06,4,1
87,5.2174563336393476e-08,6,1
88,6.746839087412582e-09,10,1
89,5.880119946510831e-09,8,1
90,1.283263717510863e-08,4,1
91,4.3195744758861565e-09,4,1
92,2.0716558424282994e-07,6,1
93,1.3668248755038803e-08,9,1
94,2.5137086367976735e-07,5,1
95,2.510563845703473e-08,6,1
96,2.2615655836943915e-07,3,1
97,1.6609705610903802e-08,4,1
98,7.920542799411123e-08,4,1
99,7.100073862176259e-09,5,1
100,0.9999838471412659,1,3
101,0.10676659643650055,2,1
102,0.9578348398208618,1,2
103,0.9999459385871887,1,2
104,1.722902709389018e-07,5,1
105,9.676869083818929e-09,7,1
106,5.939795322262853e-09,11,1
107,3.6284246718309987e-09,8,1
108,6.5990843722829595e-06,5,1
109,2.3179501340564457e-07,3,1
110,1.0986103688992443e-06,5,1
111,1.2172924357400916e-07,4,1
112,1.0,1,4
113,1.0,1,4
114,1.0,1,4
115,1.0,1,5
116,8.372825988089971e-09,10,1
117,5.67184743616167e-09,10,1
118,3.101632728430559e-09,13,1
119,2.0389401278464447e-09,11,1
120,1.0420285434520338e-05,4,1
121,2.665228464593383e-07,5,1
122,2.711748948058812e-06,4,1
123,5.2174563336393476e-08,6,1
124,6.746839087412582e-09,10,1
125,5.880119946510831e-09,8,1
126,1.283263717510863e-08,4,1
127,4.3195744758861565e-09,4,1
128,2.0716558424282994e-07,6,1
129,1.3668248755038803e-08,9,1
130,2.5137086367976735e-07,5,1
131,2.510563845703473e-08,6,1
132,2.2615655836943915e-07,3,1
133,1.6609705610903802e-08,4,1
134,7.920542799411123e-08,4,1
135,7.100073862176259e-09,5,1
136,0.9999838471412659,1,3
137,0.10676659643650055,2,1
138,0.9578348398208618,1,2
139,0.9999459385871887,1,2
140,1.722902709389018e-07,5,1
141,9.676869083818929e-09,7,1
142,5.939795322262853e-09,11,1
143,3.6284246718309987e-09,8,1
144,6.5990843722829595e-06,5,1
145,2.3179501340564457e-07,3,1
146,1.0986103688992443e-06,5,1
147,1.2172924357400916e-07,4,1
148,2.1181793385949277e-07,4,1
149,8.923170646824019e-09,4,1
150,7.28277100847663e-08,3,1
151,6.587296041971058e-08,2,1
152,8.046607717915322e-07,3,1
153,2.067811465167324e-06,3,1
154,2.7283752501716663e-07,4,1
155,7.832252322259592e-07,3,1
156,1.6176182953131502e-06,3,1
157,7.666346846235683e-08,4,1
158,1.6492754184582736e-07,6,1
159,2.1297704222433822e-07,5,1
160,4.181693384452956e-06,3,1
161,3.12562065118982e-06,2,1
162,3.2105648983815627e-07,4,1
163,1.7563911569595803e-07,3,1
164,0.00022351063671521842,3,1
165,1.0999707228620537e-05,3,1
166,1.2540368743430008e-06,5,1
167,2.0538682576898282e-07,4,1
168,1.0,1,8
169,1.0,1,5
170,0.9999998807907104,1,3
171,0.9999998807907104,1,2
172,1.4828756320639513e-06,4,1
173,3.113257207587594e-08,4,1
174,8.609039468865376e-06,3,1
175,1.714660058382833e-08,2,1
176,2.1925151827417722e-07,3,1
177,2.0798465527605003e-07,2,1
178,0.27317580580711365,2,1
179,3.891607775585726e-05,2,1
180,9.790059039005428e-07,3,1
181,1.2882094280186607e-09,8,1
182,5.2705876441905275e-05,2,1
183,1.2516846448207275e-09,9,1
184,7.170107210185961e-07,6,1
185,1.6884507658687653e-07,4,1
186,5.0367727766342796e-08,6,1
187,2.4391486164176968e-08,4,1
188,1.0,1,4
189,1.0,1,5
190,1.0,1,2
191,1.0,1,4
192,3.2531039551031427e-07,6,1
193,1.0115616788652915e-08,4,1
194,6.573449784497143e-09,10,1
195,5.815706138889709e-09,9,1
196,2.8582685107636507e-09,10,1
197,2.730793369210005e-09,6,1
198,6.047177758539135e-10,10,1
199,1.135096572291161e-09,4,1
200,4.454285317478934e-06,6,1
201,1.0440595360705629e-05,4,1
202,1.4788328371651005e-05,3,1
203,2.9169035542508936e-07,4,1
204,0.0029049564618617296,3,1
205,7.956888293847442e-05,5,1
206,1.9083712686551735e-05,5,1
207,2.865558030862303e-07,5,1
208,0.9986386299133301,1,2
209,0.999998927116394,1,2
