run_name,overall,total_illegal_ratio,mammal,hardware item,musical,sports equipment,tool,vehicle,seafood,insect,office supply item,protective clothing item,medical equipment,home decor item,construction equipment,breakfast food,sea animal,toy,fastener,scientific equipment,personal hygiene item,condiment,animal,home appliance,game,piece of women's clothing,car part,footwear,watercraft,vegetable,piece of jewelry,farm animal,plant,garden tool,source of light,dessert,item of clothing,drink,bird,container,kitchen appliance,headwear,school supply,candy,safety equipment,body part,clothing accessory,electronic device,furniture,outerwear,food,weapon,fruit,arts and crafts item,kitchen tool
align-dinov2+1b-things+hyp-abl20cat-shuffled-42,0.6147110332749562,0.0,0.7233115468409586,0.5326876513317191,0.6052631578947368,0.5036855036855037,0.7082452431289641,0.6666666666666666,0.5728643216080402,0.7058823529411765,0.65,0.7053140096618358,0.594488188976378,0.5640138408304498,0.5864661654135338,0.5304347826086957,0.7042801556420234,0.4432234432234432,0.5654205607476636,0.5766129032258065,0.5976095617529881,0.745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
align-dinosiglip+1b-llama-chat-things+hyp-abl40cat-shuffled-218,0.5192686861444703,0.0,0.6187363834422658,0.6198547215496368,0.4586466165413533,0.4889434889434889,,,0.4924623115577889,0.5775401069518716,0.585,0.6135265700483091,0.421259842519685,0.4636678200692041,0.5263157894736842,0.6826086956521739,0.5642023346303502,0.4175824175824176,,0.5,0.5139442231075697,0.275,0.5543624161073826,0.6014492753623188,0.2511627906976744,0.3914728682170542,0.4849785407725321,0.5,0.4364406779661017,0.5919732441471572,0.495049504950495,0.5412844036697247,0.4349315068493151,0.5235602094240838,0.5063829787234042,0.6268115942028986,0.552734375,0.4907063197026022,0.5201465201465202,0.5655021834061136,0.5642201834862385,0.558974358974359,0.5502183406113537,0.4268774703557312,0.4899598393574297,,,,,,,,,,
align-dinov2+1b-llama-chat-things-shuffled-7,0.4977052524222335,0.0,0.4967320261437908,0.4600484261501211,0.4511278195488721,0.4914004914004914,0.5412262156448203,0.4676258992805755,0.5276381909547738,0.5668449197860963,0.565,0.3526570048309179,0.5787401574803149,0.4602076124567474,0.4323308270676692,0.5304347826086957,0.5797665369649806,0.5494505494505495,0.4953271028037383,0.4596774193548387,0.4382470119521912,0.415,0.4536912751677852,0.4710144927536231,0.5488372093023256,0.4573643410852713,0.4506437768240343,0.3,0.4661016949152542,0.4983277591973244,0.5396039603960396,0.5275229357798165,0.5856164383561644,0.518324607329843,0.451063829787234,0.5181159420289855,0.53125,0.5539033457249071,0.4871794871794871,0.5851528384279476,0.4357798165137614,0.4666666666666667,0.4672489082969432,0.525691699604743,0.465863453815261,0.34375,0.6021505376344086,0.4065934065934066,0.5,0.4573991031390134,0.5910418695228822,0.5207667731629393,0.5204918032786885,0.5034722222222222,0.3884297520661157
align-dinov2+1b-llama-chat-things+hyp-abl10cat-shuffled-7,0.5625424881033311,0.0,,,,,,,,,,,,,,0.6043478260869565,0.6964980544747081,,,0.5120967741935484,0.4183266932270916,,,,,,0.4849785407725321,,,,,,,0.4345549738219895,,0.6521739130434783,0.65234375,,,0.5807860262008734,,,,,,,,,0.451048951048951,,,,,,
align-dinov2+1b-llama-things+hyp-abl30cat-shuffled-7,0.4478974121996303,0.0,,,,0.4889434889434889,0.4164904862579281,,,0.4117647058823529,0.355,,,0.5259515570934256,0.4849624060150376,0.4434782608695652,0.5836575875486382,,0.3878504672897196,0.532258064516129,,0.49,,0.4492753623188406,0.2790697674418604,0.6201550387596899,,,,0.5117056856187291,,0.3990825688073394,,,,0.4782608695652174,,,0.4578754578754578,0.5393013100436681,0.3165137614678899,,0.2532751091703056,0.4782608695652174,0.6987951807228916,0.45625,0.5232974910394266,,,0.2780269058295964,0.3018500486854917,,0.4754098360655737,0.4826388888888889,0.5413223140495868
align-dinov2+1b-llama-things+hyp-abl30cat-shuffled-218,0.4882162661737523,0.0,,,,0.5896805896805897,0.46723044397463,,,0.7165775401069518,0.435,,,0.5813148788927336,0.6203007518796992,0.3956521739130434,0.7354085603112841,,0.4392523364485981,0.5967741935483871,,0.275,,0.4528985507246377,0.386046511627907,0.3217054263565891,,,,0.4581939799331103,,0.6376146788990825,,,,0.5507246376811594,,,0.5531135531135531,0.4126637554585153,0.463302752293578,,0.5895196506550219,0.300395256916996,0.4979919678714859,0.375,0.5770609318996416,,,0.4663677130044843,0.436222005842259,,0.5122950819672131,0.4652777777777778,0.4421487603305785
align-dinov2+500m-things+hyp-abl50-local-shuffled-7,0.8741252467252826,0.0,0.9352112676056338,0.855595667870036,0.845679012345679,0.8424908424908425,0.9169054441260746,0.8893280632411067,0.6075949367088608,0.9324324324324323,0.9142857142857144,0.852760736196319,0.8,0.7988505747126436,0.8324607329842932,0.904494382022472,0.8627450980392157,0.8418079096045198,0.8356164383561644,0.6503067484662577,0.8203592814371258,0.9103448275862068,0.9761092150170648,0.9387755102040816,0.8015267175572519,0.9428571428571428,0.8562874251497006,0.7321428571428571,0.9116022099447514,0.949748743718593,0.8046875,0.7329545454545454,0.935483870967742,0.7928571428571428,0.7971014492753623,0.9690721649484536,0.9723756906077348,0.9060773480662984,0.9776785714285714,0.9130434782608696,0.9644970414201184,0.8587570621468926,0.808641975308642,0.9055555555555556,0.7794871794871795,0.6764705882352942,0.8480392156862745,0.91869918699187,0.7253886010362695,0.9244186046511628,0.9106145251396648,0.8558139534883721,0.8947368421052632,0.8536585365853658,0.8837209302325582
align-dinov2+1b-llama-things+hyp-abl30-local-shuffled-218,0.9088597430406852,0.0,0.9522058823529412,0.7828282828282829,0.8583333333333333,0.9289940828402368,0.97165991902834,0.9828571428571428,0.918918918918919,0.9278350515463918,0.8303571428571429,0.8842105263157894,0.7441860465116279,0.8925619834710744,0.9051094890510948,0.8823529411764706,0.9722222222222222,0.8455882352941176,0.845360824742268,0.7593984962406015,0.6067415730337079,0.931372549019608,0.982716049382716,0.8582677165354331,0.8235294117647058,0.9051724137931034,0.9583333333333334,0.97,1.0,0.9536423841059604,0.9130434782608696,0.9,0.9496402877697842,0.9017857142857144,0.9722222222222222,0.9396551724137931,0.9836734693877552,0.968,0.9851851851851852,0.8615384615384616,1.0,0.8354430379746836,0.8727272727272727,0.8175182481751825,0.7704918032786885,0.9117647058823528,0.9552238805970148,0.9119496855345912,0.9097744360902256,0.9473684210526316,0.9307359307359307,0.8689655172413793,0.9772727272727272,0.8067226890756303,0.9015151515151516
align-dinov2+1b-llama-chat-things+hyp-abl10-shuffled-7,0.6228269085411943,0.0,0.7529411764705882,0.6545454545454545,0.4516129032258064,0.639344262295082,0.723404255319149,0.5892857142857143,0.6888888888888889,0.6086956521739131,0.3846153846153846,0.4888888888888889,0.5227272727272727,0.5294117647058824,0.4222222222222222,0.4528301886792453,0.5714285714285714,0.3333333333333333,0.4651162790697674,0.7037037037037037,0.5555555555555556,0.6382978723404256,0.8253968253968254,0.5428571428571428,0.7,0.4864864864864865,0.6111111111111112,0.8536585365853658,0.7659574468085106,0.7428571428571429,0.5333333333333333,0.6153846153846154,0.4210526315789473,0.5833333333333334,0.7096774193548387,0.6296296296296297,0.5609756097560976,0.6851851851851852,0.6923076923076923,0.6923076923076923,0.6666666666666666,0.4594594594594595,0.48,0.5384615384615384,0.7272727272727273,0.6774193548387096,0.3333333333333333,0.8,0.35,0.6666666666666666,0.7934782608695652,0.5576923076923077,0.375,0.6938775510204082,0.673469387755102
align-dinov2+1b-llama-things+hyp-abl70-local-shuffled-7,0.8708779129415213,0.0,0.937219730941704,0.8147058823529412,0.9030837004405288,0.8422712933753943,0.9302325581395348,0.9486404833836858,0.7283236994219653,0.9698795180722892,0.8315217391304348,0.9431818181818182,0.6699029126213593,0.891213389121339,0.7847533632286996,0.8544600938967136,0.9495798319327732,0.7848101265822784,0.8201058201058201,0.6878048780487804,0.8434343434343434,0.8333333333333334,0.9594405594405594,0.848605577689243,0.7441860465116279,0.918552036199095,0.8527918781725888,0.8106796116504854,0.965065502183406,0.8976377952755905,0.7670454545454546,0.8181818181818182,0.8237547892720306,0.7485714285714286,0.8054054054054054,0.9596774193548387,0.9688195991091314,0.8986784140969163,0.9925373134328358,0.9,0.9065934065934066,0.8595505617977528,0.7246376811594203,0.7937219730941704,0.7906976744186046,0.6956521739130435,0.931174089068826,0.931740614334471,0.8547008547008547,0.905,0.9336332958380202,0.872093023255814,0.8949771689497716,0.7447698744769874,0.7822222222222223
