run_name,overall,total_illegal_ratio,mammal,insect,farm animal,dessert,animal,personal hygiene item,footwear,weapon,musical,breakfast food,fruit,home appliance,electronic device,medical equipment,headwear,scientific equipment,source of light,seafood,car part,container,food,vehicle,sports equipment,safety equipment,clothing accessory,game,watercraft,toy,kitchen tool,candy,bird,protective clothing item,plant,sea animal,body part,piece of women's clothing,piece of jewelry,office supply item,vegetable,furniture,tool,kitchen appliance,fastener,drink,hardware item,home decor item,item of clothing,outerwear,condiment,construction equipment,school supply,garden tool,arts and crafts item
align-dinov2+500m-things+hyp-abl40cat-local-shuffled-42,0.7381649961449499,0.0,0.723744292237443,0.973404255319149,0.7225130890052356,0.8217054263565892,0.1727158948685857,0.6233183856502242,0.8263157894736842,0.918032786885246,0.9484126984126984,0.5798319327731093,0.9637681159420288,0.4793388429752066,0.8995983935742972,0.6132075471698113,0.9027027027027028,0.5905172413793104,0.7475728155339806,0.8097560975609757,0.7434782608695653,0.6850715746421268,0.8943089430894309,0.8518518518518519,0.7176470588235294,0.6524064171122995,0.8457943925233645,0.7616279069767442,0.7268292682926829,0.6707818930041153,0.8541666666666666,0.9414893617021276,0.9919354838709676,0.9214659685863874,0.7429718875502008,0.8518518518518519,0.9833333333333332,0.8808290155440415,0.861271676300578,0.695,0.6723404255319149,0.978102189781022,0.9221902017291066,0.8076923076923077,0.8333333333333334,0.9757575757575756,0.3863636363636363,0.6153846153846154,0.8395061728395061,0.9308510638297872,0.7985074626865671,0.6008583690987125,0.6323529411764706,0.7263157894736842,0.7292817679558011
align-dinov2+500m-things+hyp-abl30-shuffled-218,0.6058636243035288,0.0,0.5596707818930041,0.7734375,0.625,0.6615384615384615,0.668235294117647,0.638095238095238,0.6395348837209303,0.5290322580645161,0.6571428571428571,0.6074074074074074,0.6351351351351351,0.578125,0.4666666666666667,0.6454545454545455,0.6422018348623854,0.5,0.7522123893805309,0.5928571428571429,0.7522935779816514,0.5181347150259067,0.6834381551362684,0.563953488372093,0.4787234042553192,0.6458333333333334,0.4468085106382978,0.8878504672897196,0.6140350877192983,0.5686274509803921,0.5673076923076923,0.7459016393442623,0.5983606557377049,0.5698924731182796,0.5929203539823009,0.5486111111111112,0.92,0.6330275229357798,0.7070707070707071,0.5585585585585585,0.5735294117647058,0.5299145299145299,0.4327731092436975,0.6183206106870229,0.6551724137931034,0.8222222222222222,0.4395604395604395,0.5491803278688525,0.4574898785425101,0.76,0.7474747474747475,0.5132743362831859,0.6697247706422018,0.7053571428571429,0.5441176470588235
align-dinov2+500m-things+hyp-abl90-local-shuffled-218,0.8453079178885631,0.0,0.7860262008733624,0.9356435643564356,0.847926267281106,0.943661971830986,0.9646464646464646,0.8333333333333334,0.8428571428571429,0.7905405405405406,0.9514925373134328,0.9516129032258064,0.925925925925926,0.8932806324110671,0.8233618233618234,0.625,0.9095477386934674,0.7107438016528925,0.8125,0.7564102564102564,0.9036144578313252,0.8227848101265823,0.7545638945233266,0.903896103896104,0.9072463768115944,0.7524752475247525,0.857707509881423,0.8938547486033519,0.9770642201834864,0.688715953307393,0.7375565610859729,0.9554455445544554,0.9362549800796812,0.8755760368663594,0.9299610894941636,0.9291338582677166,0.9407894736842104,0.9357798165137616,0.936842105263158,0.7522935779816514,0.952755905511811,0.9692307692307692,0.6910569105691057,0.9444444444444444,0.8356164383561644,0.96045197740113,0.6194444444444445,0.8552188552188552,0.8463114754098361,0.9585253456221198,0.8957055214723927,0.7777777777777778,0.6976744186046512,0.8325123152709359,0.6833976833976834
align-dinov2+1b-things+hyp-abl50-shuffled-42,0.6260177311380496,0.0,0.4608433734939759,0.6737967914438503,0.6736111111111112,0.6384976525821596,0.565068493150685,0.6,0.743801652892562,0.5789473684210527,0.7245508982035929,0.631336405529954,0.6697247706422018,0.5675675675675675,0.4931972789115646,0.6983240223463687,0.7,0.5760869565217391,0.7483870967741936,0.6069651741293532,0.6751592356687898,0.5867507886435331,0.7083926031294452,0.6563706563706564,0.5537190082644629,0.7633587786259542,0.4454976303317535,0.8591549295774648,0.7054794520547946,0.6441717791411042,0.4971751412429379,0.7572254335260116,0.603448275862069,0.7517241379310344,0.6108108108108108,0.5445544554455446,0.8319327731092437,0.688622754491018,0.8091603053435115,0.6206896551724138,0.7619047619047619,0.7100591715976331,0.4335106382978723,0.6994219653179191,0.6463414634146342,0.8442622950819673,0.4,0.5581395348837209,0.5054054054054054,0.6888888888888889,0.85,0.5818181818181818,0.6770186335403726,0.7194244604316546,0.6105769230769231
align-dinov2+500m-things+hyp-abl20cat-local-shuffled-42,0.6851593393812515,0.0,0.3325,0.9932885906040269,0.8705035971223022,0.936842105263158,0.9696428571428573,0.550561797752809,0.9652173913043478,0.8789808917197452,0.7405660377358491,0.4263157894736842,1.0,0.8522727272727273,0.8412698412698413,0.4775280898876404,0.8860759493670886,0.4184782608695652,0.8373983739837398,0.6047904191616766,0.8333333333333334,0.8368794326241135,0.8422939068100358,0.7966101694915254,0.28,0.6608695652173913,0.918918918918919,0.8191489361702128,0.967948717948718,0.5572916666666666,0.6756756756756757,0.979591836734694,0.8024691358024691,0.6194029850746269,0.9540229885057472,0.8736263736263736,1.0,0.95,0.9012345679012346,0.5806451612903226,0.9647058823529412,0.9375,0.2482598607888631,0.9506172839506172,0.4695121951219512,0.9722222222222222,0.2587859424920127,0.4666666666666667,0.9609375,0.9646017699115044,0.7425742574257426,0.4277777777777777,0.6439393939393939,0.6888888888888889,0.696551724137931
align-dinov2+500m-things+hyp-abl30-local-shuffled-42,0.905808686384226,0.0,0.9767441860465116,1.0,0.6,0.931297709923664,0.9885844748858448,0.8785046728971962,0.9902912621359224,0.8843537414965986,0.9827586206896552,0.908256880733945,1.0,0.937007874015748,0.9428571428571428,0.8425925925925926,0.9196428571428572,0.7583333333333333,0.911504424778761,0.9621212121212122,0.8907563025210085,0.8686868686868687,0.9273504273504274,0.8802395209580839,0.9125,0.9029126213592232,0.9214285714285714,0.945945945945946,0.9516129032258064,0.8956521739130435,0.8482142857142857,0.9821428571428572,0.9924242424242424,0.9,0.8482142857142857,0.9125,0.9876543209876544,0.912621359223301,0.8627450980392157,0.8677685950413223,0.952,0.9848484848484848,0.9256198347107438,0.9150943396226416,0.8288288288288288,0.9743589743589745,0.7675675675675676,0.8880597014925373,0.92,0.9056603773584906,0.8241758241758241,0.752,0.845360824742268,0.7747747747747747,0.8015267175572519
align-dinov2+1b-things+hyp-abl50-shuffled-218,0.6078342681382305,0.0,0.3795180722891566,0.6844919786096256,0.6458333333333334,0.6009389671361502,0.5616438356164384,0.6411764705882353,0.6942148760330579,0.5745614035087719,0.7065868263473054,0.6589861751152074,0.6467889908256881,0.545045045045045,0.5238095238095238,0.664804469273743,0.675,0.5869565217391305,0.7161290322580646,0.5771144278606966,0.6878980891719745,0.5394321766561514,0.7254623044096729,0.583011583011583,0.5247933884297521,0.6946564885496184,0.4786729857819905,0.8450704225352113,0.6986301369863014,0.6748466257668712,0.4971751412429379,0.7687861271676301,0.603448275862069,0.6896551724137931,0.5243243243243243,0.5198019801980198,0.8487394957983193,0.6766467065868264,0.8091603053435115,0.6206896551724138,0.5523809523809524,0.5857988165680473,0.4441489361702128,0.6705202312138728,0.6097560975609756,0.7868852459016393,0.4105263157894737,0.5058139534883721,0.5324324324324324,0.674074074074074,0.8285714285714286,0.5575757575757576,0.6770186335403726,0.7266187050359713,0.5769230769230769
align-dinov2+500m-things+hyp-abl70-local-shuffled-7,0.8718927822701408,0.0,0.955,0.9476439790575916,0.8350515463917526,0.9322709163346612,0.9694444444444444,0.88,0.9526315789473684,0.8458646616541353,0.9861111111111112,0.8661087866108786,0.7906976744186046,0.7965367965367965,0.8064516129032258,0.7198067632850241,0.935672514619883,0.7702702702702703,0.8805970149253731,0.7142857142857143,0.9174757281553398,0.8953771289537713,0.8921113689095128,0.9301587301587302,0.9136212624584718,0.7790055248618785,0.7405857740585774,0.8987341772151899,0.9716981132075472,0.8348623853211009,0.8564102564102564,0.9157303370786516,0.9836734693877552,0.8840579710144928,0.8262910798122066,0.9,0.8947368421052632,0.8936170212765957,0.927710843373494,0.673469387755102,0.8634361233480177,0.9559471365638766,0.8881278538812786,0.8032786885245902,0.8106796116504854,0.9805194805194806,0.8452380952380952,0.8695652173913043,0.9418886198547216,0.88,0.9219858156028368,0.7533039647577092,0.68,0.7228260869565217,0.7699115044247787
align-dinov2+1b-things+hyp-abl70-shuffled-42,0.5834950007461573,0.0,0.3918575063613231,0.7069767441860465,0.6842105263157895,0.524,0.6122159090909091,0.5854922279792746,0.6530612244897959,0.5338345864661654,0.6188340807174888,0.6205533596837944,0.6221374045801527,0.5296442687747036,0.4447674418604651,0.6038647342995169,0.6742857142857143,0.5358649789029536,0.6684210526315789,0.5727699530516432,0.6048780487804878,0.4721549636803874,0.6658959537572254,0.5107033639143731,0.4698412698412698,0.6428571428571429,0.5189873417721519,0.7142857142857143,0.685,0.5720720720720721,0.5555555555555556,0.7718446601941747,0.5570175438596491,0.6666666666666666,0.5616438356164384,0.5155555555555555,0.7142857142857143,0.66,0.7413793103448276,0.6235955056179775,0.5767634854771784,0.591743119266055,0.4383561643835616,0.6585365853658537,0.5777777777777777,0.7467532467532467,0.3892215568862275,0.5150214592274678,0.5280373831775701,0.6686390532544378,0.8170731707317073,0.5103092783505154,0.6907216494845361,0.7011494252873564,0.5477178423236515
align-dinov2+500m-things-local-shuffled-7,0.7848569969356486,0.0,0.8365591397849462,0.9351851851851852,0.7420814479638009,0.9457627118644067,0.4110429447852761,0.8152610441767069,0.9342723004694836,0.859375,0.9337979094076656,0.9094488188976378,0.9712230215827338,0.7348484848484849,0.7419354838709677,0.6995884773662552,0.9230769230769232,0.69921875,0.8547008547008547,0.6680672268907563,0.8984962406015038,0.8521400778210116,0.6889763779527559,0.7961165048543689,0.5576923076923077,0.7272727272727273,0.8037735849056604,0.8617021276595744,0.9439655172413792,0.7290076335877863,0.7543859649122807,0.9516908212560388,0.950381679389313,0.8622222222222222,0.8786764705882353,0.7415730337078652,0.8982035928143712,0.9414414414414416,0.8434343434343434,0.7757847533632287,0.9389312977099236,0.9434628975265018,0.8230616302186878,0.9253731343283582,0.8201754385964912,0.9148936170212766,0.6780104712041884,0.6419354838709678,0.6974459724950884,0.9230769230769232,0.893491124260355,0.6401515151515151,0.6696035242290749,0.8450704225352113,0.631768953068592
