run_name,overall,total_illegal_ratio,musical,item of clothing,insect,furniture,outerwear,vehicle,bird,container,body part,home appliance,headwear,watercraft,food,medical equipment,sea animal,vegetable,piece of jewelry,office supply item,car part,plant,sports equipment,clothing accessory,fruit,mammal,fastener,protective clothing item,footwear,animal,dessert,candy,condiment,piece of women's clothing,personal hygiene item,toy,breakfast food,game,drink,seafood,electronic device,garden tool,weapon,home decor item,school supply,kitchen tool,scientific equipment,construction equipment,arts and crafts item,kitchen appliance,safety equipment,source of light,tool,farm animal,hardware item
align-dinov2+500m-things+hyp-abl10-42,0.9248366013071896,0.0,0.95,0.9550561797752808,0.9056603773584906,1.0,0.9117647058823528,1.0,1.0,0.974025974025974,0.9565217391304348,0.9821428571428572,0.9743589743589745,0.9696969696969696,0.9715909090909092,0.7169811320754716,1.0,1.0,1.0,0.7843137254901961,1.0,0.9696969696969696,0.8541666666666666,0.8490566037735849,0.8461538461538461,0.9772727272727272,0.902439024390244,0.8823529411764706,1.0,0.9930555555555556,0.9846153846153848,0.9565217391304348,0.96875,0.9655172413793104,0.951219512195122,0.8,0.9615384615384616,0.8823529411764706,0.9428571428571428,0.8125,0.9733333333333334,0.8484848484848485,0.8444444444444444,0.9318181818181818,0.9111111111111112,0.8913043478260869,0.7608695652173914,0.8,0.7571428571428571,1.0,0.8888888888888888,1.0,0.9615384615384616,0.8974358974358975,0.8360655737704918
align-siglip+1b-things-42,0.6915042669723602,0.0,0.8897338403041825,0.6441351888667992,0.9770642201834864,0.735593220338983,0.9014084507042254,0.8171021377672208,0.8772563176895307,0.7822736030828517,0.8888888888888888,0.6116838487972509,0.7736842105263158,0.9420289855072465,0.1226692836113837,0.6626016260162602,0.7220216606498195,0.8513011152416357,0.8974358974358975,0.6926605504587156,0.6147540983606558,0.8450184501845018,0.3989361702127659,0.8133802816901409,0.924187725631769,0.6237006237006237,0.8483606557377049,0.8214285714285714,0.83,0.5018094089264173,0.8758169934640523,0.96875,0.9528795811518324,0.855072463768116,0.6322314049586777,0.7126436781609196,0.657258064516129,0.9310344827586208,0.9737991266375546,0.6666666666666666,0.7,0.7216494845360825,0.7962382445141066,0.5956112852664577,0.6916666666666667,0.7896995708154506,0.6484375,0.6755725190839694,0.5524475524475524,0.8248847926267281,0.7447916666666666,0.9113300492610836,0.5051975051975052,0.883495145631068,0.4429708222811671
align-dinov2+1b-things+hyp-abl10cat-218,0.7615905848787446,0.0,1.0,0.4348894348894349,0.9574468085106383,0.6684210526315789,0.7927927927927928,0.9791666666666666,1.0,0.5344827586206896,0.7592592592592593,0.8913043478260869,0.9213483146067416,1.0,0.9351851851851852,0.8072289156626506,0.8395061728395061,1.0,0.9464285714285714,0.9130434782608696,0.4266666666666667,0.9629629629629628,0.935483870967742,0.7785714285714286,0.9818181818181818,0.951219512195122,0.9206349206349206,0.8809523809523809,1.0,0.8344370860927153,0.7638190954773869,0.9473684210526316,0.9418604651162792,0.6153846153846154,0.4565217391304347,0.9491525423728814,0.310126582278481,1.0,0.9305555555555556,0.7916666666666666,0.8701298701298701,0.495049504950495,0.8235294117647058,0.8941176470588236,0.8461538461538461,0.90625,0.4787878787878787,0.8783783783783784,0.8571428571428571,0.9848484848484848,0.8823529411764706,0.953846153846154,0.9144736842105264,1.0,0.8865979381443299
align-dinov2+1b-things+hyp-abl30-218,0.91688689217759,0.0,0.97196261682243,0.9760956175298804,0.9912280701754386,0.9758064516129032,0.9215686274509804,0.9080459770114944,1.0,0.937799043062201,0.9605263157894736,0.9496402877697842,0.9405940594059404,0.9009009009009008,0.9065817409766456,0.8365384615384616,0.9367088607594936,0.9831932773109244,0.99,0.8559322033898306,0.944954128440367,0.990990990990991,0.8524590163934426,0.8642857142857143,0.9787234042553192,0.9771863117870724,0.925925925925926,0.8282828282828283,0.9803921568627452,0.9732739420935412,0.9640287769784172,0.9134615384615384,0.9215686274509804,0.8936170212765957,0.911504424778761,0.9019607843137256,0.9615384615384616,0.9381443298969072,0.9805825242718448,0.8257575757575758,0.9257425742574258,0.8514851485148515,0.906832298136646,0.8478260869565217,0.8706896551724138,0.7920792079207921,0.8582677165354331,0.7711864406779662,0.8428571428571429,0.951219512195122,0.84375,0.9191919191919192,0.9230769230769232,0.7769230769230769,0.8486486486486486
align-dinov2+1b-things+hyp-abl50-42,0.8953065308350009,0.0,0.9215686274509804,0.8725761772853186,0.993939393939394,0.9666666666666668,0.8695652173913043,0.9437751004016064,0.994535519125683,0.879154078549849,0.991150442477876,0.8653846153846154,0.9453125,0.9708029197080292,0.9,0.8171428571428572,0.9858490566037736,0.9692307692307692,0.931297709923664,0.9119496855345912,0.9675324675324676,0.888268156424581,0.9401709401709402,0.7671232876712328,0.9390862944162436,0.9832869080779943,0.9090909090909092,0.9375,0.9708029197080292,0.9933993399339934,0.8863636363636364,0.958041958041958,0.9280575539568344,0.9594594594594594,0.8554913294797688,0.9074074074074074,0.6958762886597938,0.9455782312925172,0.9854014598540146,0.7734806629834254,0.8956228956228957,0.7923076923076923,0.8744186046511628,0.8738317757009346,0.8383233532934131,0.8493975903614458,0.7978142076502732,0.723404255319149,0.8165137614678899,0.975609756097561,0.8057553956834532,0.9416058394160584,0.814404432132964,0.8650306748466258,0.7208480565371025
align-siglip+500m-things-42,0.6823334607056426,0.0,0.6653992395437263,0.7017892644135189,0.9770642201834864,0.735593220338983,0.8732394366197183,0.9121140142517816,0.9025270758122744,0.6204238921001927,0.8771929824561403,0.563573883161512,0.8578947368421053,0.9033816425120772,0.1246319921491658,0.6382113821138211,0.7509025270758123,0.933085501858736,0.8666666666666667,0.6972477064220184,0.9508196721311476,0.7601476014760148,0.4148936170212766,0.7429577464788732,0.924187725631769,0.7505197505197505,0.7418032786885246,0.8724489795918368,0.765,0.5560916767189384,0.9215686274509804,0.9322916666666666,0.8900523560209425,0.8985507246376812,0.6239669421487604,0.6206896551724138,0.7620967741935484,0.8423645320197044,0.9344978165938864,0.6452991452991453,0.6,0.711340206185567,0.7460815047021944,0.5862068965517241,0.6916666666666667,0.6866952789699571,0.6328125,0.6450381679389313,0.5944055944055944,0.7419354838709677,0.65625,0.6995073891625616,0.5654885654885655,0.7427184466019418,0.4058355437665782
align-dinov2+1b-things+hyp-abl70-218,0.757275033577078,0.0,0.735,0.8725490196078431,0.7696335078534031,0.8240343347639485,0.6774193548387096,0.7650602409638554,0.9221789883268484,0.69377990430622,0.7876712328767124,0.701195219123506,0.7023809523809523,0.7336956521739131,0.8344748858447488,0.6698113207547169,0.6071428571428571,0.8016877637130801,0.8607594936708861,0.8369565217391305,0.8,0.7201834862385321,0.5566666666666666,0.6541666666666667,0.7634854771784232,0.935096153846154,0.6816143497757847,0.7916666666666666,0.8285714285714286,0.9629629629629628,0.8222222222222222,0.7916666666666666,0.592814371257485,0.7258064516129032,0.7070707070707071,0.7407407407407407,0.8222222222222222,0.6685082872928176,0.8478260869565217,0.5588235294117647,0.8895348837209303,0.695906432748538,0.7088122605363985,0.5900383141762452,0.7512437810945274,0.7236180904522613,0.5657894736842105,0.5745614035087719,0.6058091286307054,0.6492146596858639,0.6726190476190477,0.7914110429447853,0.784037558685446,0.7842105263157895,0.6876876876876877
align-dinov2+500m-things+hyp-abl40cat-218,0.784452296819788,0.0,0.946938775510204,0.7384937238493724,0.9792746113989638,0.9691358024691358,0.8191489361702128,0.8044444444444444,1.0,0.4601226993865031,0.8778625954198473,0.7300380228136882,0.8809523809523809,0.9293478260869564,0.8731942215088283,0.6621004566210046,0.8979591836734694,0.9385245901639344,0.9186046511627908,0.6542553191489362,0.7096774193548387,0.8630705394190872,0.6867816091954023,0.7866666666666666,0.9692307692307692,0.9422222222222222,0.8848167539267016,0.7724550898203593,0.9318181818181818,0.7602996254681648,0.8369565217391305,0.9156626506024096,0.8787878787878788,0.8351648351648352,0.6,0.7478260869565218,0.5201793721973094,0.918918918918919,0.9855769230769232,0.7142857142857143,0.7614035087719299,0.6666666666666666,0.8702702702702703,0.6348122866894198,0.6445497630331753,0.8627450980392157,0.676595744680851,0.6096491228070176,0.786096256684492,0.8900523560209425,0.7235294117647059,0.8722222222222222,0.8982035928143712,0.7679558011049724,0.384180790960452
align-dinov2+500m-things-218,0.7349382244300089,0.0,0.8136882129277566,0.3996023856858847,0.9541284403669724,0.8372881355932204,0.892018779342723,0.8408551068883611,0.9783393501805054,0.7244701348747592,0.8596491228070176,0.6701030927835051,0.9210526315789472,0.9565217391304348,0.1452404317958783,0.6422764227642277,0.8447653429602888,0.9776951672862454,0.9025641025641026,0.7706422018348624,0.6188524590163934,0.8634686346863468,0.5611702127659575,0.6373239436619719,0.8447653429602888,0.948024948024948,0.889344262295082,0.903061224489796,0.85,0.6815440289505428,0.8986928104575164,0.9010416666666666,0.8534031413612565,0.7246376811594203,0.7603305785123967,0.7471264367816092,0.8024193548387096,0.916256157635468,0.9388646288209608,0.6923076923076923,0.7585365853658537,0.8092783505154639,0.8307210031347962,0.7053291536050157,0.7375,0.8326180257510729,0.67578125,0.6450381679389313,0.7097902097902098,0.8525345622119815,0.8125,0.8866995073891626,0.7671517671517671,0.8252427184466019,0.4907161803713528
align-dinov2+1b-things+hyp-abl30cat-42,0.662041884816754,0.0,0.8529411764705882,0.9288025889967636,0.9453551912568308,0.9714285714285714,0.6820809248554913,0.927007299270073,0.9873949579831932,0.5987124463519313,0.8814814814814815,0.4798387096774194,0.9915966386554622,0.9702970297029704,0.09072375127421,0.8066666666666666,0.62882096069869,0.7942386831275721,0.952,0.6228571428571429,0.9435483870967742,0.8789808917197452,0.344311377245509,0.4621848739495798,0.6170212765957447,0.9096045197740112,0.5969387755102041,0.7115384615384616,0.8939393939393939,0.9434782608695652,0.8505747126436781,0.8895705521472392,0.8378378378378378,0.6184971098265896,0.7785714285714286,0.8445945945945946,0.5158371040723982,0.7215189873417721,0.937984496124031,0.5769230769230769,0.8115384615384615,0.7465753424657534,0.8603351955307262,0.5927272727272728,0.6256410256410256,0.59,0.5492957746478874,0.5071090047393365,0.4979253112033195,0.6428571428571429,0.6242038216560509,0.8939393939393939,0.4797297297297297,0.6453488372093024,0.6966292134831461
