concept,category,question,label,predicted,correct
aardvark,mammal,Is an aardvark a mammal? Answer only in yes or no.,Yes,yes,True
aardvark,body part,Is an aardvark a body part? Answer only in yes or no.,No,yes,False
aardvark,animal,Is an aardvark an animal? Answer only in yes or no.,Yes,yes,True
aardvark,hardware,Is an aardvark a hardware? Answer only in yes or no.,No,yes,False
accordion,musical instrument,Is an accordion a musical instrument? Answer only in yes or no.,Yes,yes,True
accordion,clothing accessory,Is an accordion a clothing accessory? Answer only in yes or no.,No,yes,False
air_conditioner,electronic device,Is an air conditioner an electronic device? Answer only in yes or no.,Yes,yes,True
air_conditioner,sports equipment,Is an air conditioner a sports equipment? Answer only in yes or no.,No,yes,False
air_conditioner,home appliance,Is an air conditioner a home appliance? Answer only in yes or no.,Yes,yes,True
air_conditioner,game,Is an air conditioner a game? Answer only in yes or no.,No,yes,False
air_mattress,furniture,Is an air mattress a furniture? Answer only in yes or no.,Yes,yes,True
air_mattress,musical instrument,Is an air mattress a musical instrument? Answer only in yes or no.,No,yes,False
air_pump,tool,Is an air pump a tool? Answer only in yes or no.,Yes,yes,True
air_pump,women's clothing,Is an air pump a women's clothing? Answer only in yes or no.,No,yes,False
airbag,part of car,Is an airbag a part of car? Answer only in yes or no.,Yes,yes,True
airbag,footwear,Is an airbag a footwear? Answer only in yes or no.,No,yes,False
airboat,vehicle,Is an airboat a vehicle? Answer only in yes or no.,Yes,yes,True
airboat,women's clothing,Is an airboat a women's clothing? Answer only in yes or no.,No,yes,False
airboat,watercraft,Is an airboat a watercraft? Answer only in yes or no.,Yes,yes,True
airboat,sports equipment,Is an airboat a sports equipment? Answer only in yes or no.,No,yes,False
aircraft_carrier,vehicle,Is an aircraft carrier a vehicle? Answer only in yes or no.,Yes,yes,True
aircraft_carrier,vegetable,Is an aircraft carrier a vegetable? Answer only in yes or no.,No,yes,False
aircraft_carrier,watercraft,Is an aircraft carrier a watercraft? Answer only in yes or no.,Yes,yes,True
aircraft_carrier,home appliance,Is an aircraft carrier a home appliance? Answer only in yes or no.,No,yes,False
airplane,vehicle,Is an airplane a vehicle? Answer only in yes or no.,Yes,yes,True
airplane,game,Is an airplane a game? Answer only in yes or no.,No,yes,False
alligator,animal,Is an alligator an animal? Answer only in yes or no.,Yes,yes,True
alligator,outerwear,Is an alligator an outerwear? Answer only in yes or no.,No,yes,False
almond,food,Is an almond a food? Answer only in yes or no.,Yes,yes,True
almond,seafood,Is an almond a seafood? Answer only in yes or no.,No,yes,False
alpaca,mammal,Is an alpaca a mammal? Answer only in yes or no.,Yes,yes,True
alpaca,weapon,Is an alpaca a weapon? Answer only in yes or no.,No,yes,False
alpaca,animal,Is an alpaca an animal? Answer only in yes or no.,Yes,yes,True
alpaca,clothing accessory,Is an alpaca a clothing accessory? Answer only in yes or no.,No,yes,False
ambulance,vehicle,Is an ambulance a vehicle? Answer only in yes or no.,Yes,yes,True
ambulance,sports equipment,Is an ambulance a sports equipment? Answer only in yes or no.,No,yes,False
anklet,jewelry,Is an anklet a jewelry? Answer only in yes or no.,Yes,yes,True
anklet,farm animal,Is an anklet a farm animal? Answer only in yes or no.,No,yes,False
ant,insect,Is an ant an insect? Answer only in yes or no.,Yes,yes,True
ant,plant,Is an ant a plant? Answer only in yes or no.,No,yes,False
ant,animal,Is an ant an animal? Answer only in yes or no.,Yes,yes,True
ant,hardware,Is an ant a hardware? Answer only in yes or no.,No,yes,False
anteater,mammal,Is an anteater a mammal? Answer only in yes or no.,Yes,yes,True
anteater,insect,Is an anteater an insect? Answer only in yes or no.,No,yes,False
anteater,animal,Is an anteater an animal? Answer only in yes or no.,Yes,yes,True
anteater,vehicle,Is an anteater a vehicle? Answer only in yes or no.,No,yes,False
antelope,mammal,Is an antelope a mammal? Answer only in yes or no.,Yes,yes,True
antelope,hardware,Is an antelope a hardware? Answer only in yes or no.,No,yes,False
antelope,animal,Is an antelope an animal? Answer only in yes or no.,Yes,yes,True
antelope,garden tool,Is an antelope a garden tool? Answer only in yes or no.,No,yes,False
anvil,tool,Is an anvil a tool? Answer only in yes or no.,Yes,yes,True
anvil,sports equipment,Is an anvil a sports equipment? Answer only in yes or no.,No,yes,False
