run_name,overall,total_illegal_ratio,furniture,safety equipment,office supply item,plant,protective clothing item,condiment,musical,tool,bird,sports equipment,car part,vegetable,vehicle,source of light,clothing accessory,body part,food,seafood,kitchen appliance,fruit,kitchen tool,garden tool,farm animal,scientific equipment,piece of jewelry,headwear,electronic device,medical equipment,watercraft,home decor item,dessert,weapon,animal,outerwear,piece of women's clothing,construction equipment,insect,school supply,hardware item,arts and crafts item,container,personal hygiene item,candy,fastener,game,drink,toy,mammal,footwear,breakfast food,home appliance,sea animal,item of clothing
align-dinov2+500m-things+hyp-abl40cat-local-shuffled-42,0.9888641425389756,0.0,0.9931506849315068,1.0,1.0,1.0,1.0,1.0,1.0,0.9423076923076924,1.0,0.9583333333333334,1.0,1.0,1.0,1.0,1.0,0.9574468085106383,0.9975062344139652,1.0,1.0,0.9928571428571428,0.988095238095238,1.0,1.0,0.9583333333333334,1.0,1.0,0.983739837398374,1.0,1.0,0.972972972972973,0.945945945945946,0.9708029197080292,1.0,1.0,1.0,0.967741935483871,1.0,1.0,1.0,0.9895833333333334,0.96,1.0,0.9473684210526316,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
align-dinov2+500m-things+hyp-abl30-shuffled-218,0.9475558830754116,0.0,0.9294871794871796,0.990909090909091,0.9666666666666668,0.910958904109589,1.0,1.0,0.912568306010929,0.93359375,0.943089430894309,0.9187817258883249,0.9517241379310344,0.945945945945946,0.932,0.9385964912280702,0.968,0.9484536082474226,0.9423791821561338,0.972972972972973,0.9805825242718448,0.9154929577464788,0.9626865671641792,0.9761904761904762,1.0,0.9411764705882352,1.0,0.979381443298969,0.9365853658536586,0.9615384615384616,0.963963963963964,0.9085365853658536,0.930379746835443,0.96,0.947945205479452,0.979591836734694,0.9435483870967742,0.9714285714285714,0.9243697478991596,0.9732142857142856,0.9751243781094528,0.9333333333333332,0.9435736677115988,0.916083916083916,0.9829059829059827,0.9603174603174603,0.9732142857142856,0.9375,0.913907284768212,0.9414634146341464,1.0,0.9357142857142856,0.9426751592356688,0.9649122807017544,0.9130434782608696
align-dinov2+500m-things+hyp-abl90-local-shuffled-218,0.9590909090909092,0.0,1.0,0.7142857142857143,0.6,0.8666666666666667,1.0,1.0,1.0,1.0,0.9090909090909092,1.0,1.0,0.875,1.0,0.9,1.0,1.0,0.9666666666666668,1.0,0.6666666666666666,0.875,1.0,1.0,0.75,1.0,1.0,1.0,0.9523809523809524,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.6666666666666666,1.0,1.0,0.8636363636363636,0.9444444444444444,0.975,1.0,1.0,0.8888888888888888,0.8888888888888888,1.0,1.0,1.0,1.0,0.8333333333333334,1.0,1.0,1.0
align-dinov2+1b-things+hyp-abl50-shuffled-42,0.9604409857328146,0.0,0.9615384615384616,0.9866666666666668,0.9821428571428572,0.972972972972973,0.9622641509433962,1.0,0.9338842975206612,0.9322033898305084,1.0,0.93006993006993,0.9072164948453608,0.918918918918919,0.9631901840490796,0.9722222222222222,1.0,1.0,0.9551282051282052,1.0,0.9836065573770492,0.9583333333333334,1.0,1.0,1.0,0.9047619047619048,0.9473684210526316,1.0,0.9433962264150944,0.9344262295081968,0.9746835443037974,0.956140350877193,0.9866666666666668,0.9411764705882352,0.9611650485436892,1.0,0.9545454545454546,1.0,1.0,0.9833333333333332,0.979591836734694,0.9615384615384616,0.9128205128205128,0.9102564102564102,0.9696969696969696,0.9615384615384616,0.987012987012987,0.984375,0.9111111111111112,0.9310344827586208,1.0,0.9482758620689656,0.984126984126984,1.0,0.9869281045751634
align-dinov2+500m-things+hyp-abl20cat-local-shuffled-42,0.9881120860458534,0.0,0.9901477832512317,0.9787234042553192,1.0,0.9945945945945946,1.0,1.0,1.0,0.9861111111111112,1.0,1.0,0.9941176470588236,0.9943502824858758,1.0,0.990990990990991,0.987012987012987,0.9876543209876544,0.9905020352781548,1.0,0.9833333333333332,0.9947368421052633,1.0,1.0,1.0,1.0,0.9658119658119658,0.992248062015504,0.9959349593495936,1.0,1.0,1.0,0.96,0.9877300613496932,1.0,0.9722222222222222,0.943661971830986,1.0,1.0,0.9894736842105264,1.0,0.9621212121212122,0.970509383378016,1.0,0.981651376146789,1.0,0.9680851063829788,0.956896551724138,1.0,1.0,1.0,0.984375,0.9772727272727272,0.9882352941176472,0.994750656167979
align-dinov2+500m-things+hyp-abl30-local-shuffled-42,0.9806325079676392,0.0,0.9933774834437086,0.981132075471698,0.9411764705882352,1.0,0.9809523809523808,1.0,1.0,0.9655172413793104,1.0,0.9852941176470588,0.9727891156462584,1.0,0.9959183673469388,0.975206611570248,0.976,0.9883720930232558,0.9908759124087592,0.981132075471698,0.9789473684210528,0.9863945578231292,0.9741379310344828,0.9901960784313726,1.0,0.9705882352941176,0.96875,0.9895833333333334,0.9847715736040608,0.9333333333333332,1.0,0.9943181818181818,0.9878048780487804,0.9942196531791908,0.9973474801061007,0.9652173913043478,0.9915966386554622,0.9496402877697842,1.0,0.9769230769230768,0.9593908629441624,0.952054794520548,0.9588607594936708,0.9366197183098592,0.968421052631579,0.9658119658119658,0.9649122807017544,0.9727272727272728,0.9863945578231292,0.9951690821256038,1.0,0.9724137931034482,0.948905109489051,1.0,0.9884169884169884
align-dinov2+1b-things+hyp-abl50-shuffled-218,0.9524427150886294,0.0,0.9519230769230768,0.9466666666666668,0.9821428571428572,0.9324324324324323,0.981132075471698,1.0,0.9586776859504132,0.9322033898305084,0.9577464788732394,0.93006993006993,0.9072164948453608,0.9594594594594594,0.9386503067484664,0.9166666666666666,0.9636363636363636,0.981132075471698,0.939102564102564,1.0,0.9672131147540984,0.9583333333333334,0.9836065573770492,1.0,1.0,0.9047619047619048,0.9210526315789472,1.0,0.9433962264150944,0.9672131147540984,0.9620253164556962,0.9736842105263158,1.0,0.9705882352941176,0.9660194174757282,0.984126984126984,0.9242424242424242,0.9622641509433962,0.9833333333333332,0.9833333333333332,0.9183673469387756,0.9487179487179488,0.8923076923076924,0.935897435897436,0.9696969696969696,0.9102564102564102,0.948051948051948,0.96875,0.9333333333333332,0.956896551724138,1.0,0.9827586206896552,0.9682539682539684,1.0,0.954248366013072
align-dinov2+500m-things+hyp-abl70-local-shuffled-7,0.981369150779896,0.0,1.0,0.9642857142857144,1.0,0.9830508474576272,1.0,0.9642857142857144,1.0,0.9384615384615383,1.0,1.0,0.9833333333333332,1.0,1.0,1.0,0.9615384615384616,1.0,1.0,0.9642857142857144,0.8888888888888888,1.0,1.0,1.0,0.925925925925926,0.9411764705882352,1.0,0.972972972972973,0.9838709677419356,0.9444444444444444,1.0,0.9824561403508772,1.0,0.9444444444444444,1.0,1.0,1.0,0.972972972972973,1.0,1.0,0.9782608695652174,0.9411764705882352,0.9611650485436892,0.979591836734694,1.0,0.9090909090909092,0.9333333333333332,1.0,0.9772727272727272,0.9846153846153848,0.9565217391304348,0.9333333333333332,1.0,1.0,0.9895833333333334
align-dinov2+1b-things+hyp-abl70-shuffled-42,0.9381035996488148,0.0,0.9818181818181818,1.0,1.0,0.925,1.0,0.9722222222222222,0.8923076923076924,0.8571428571428571,1.0,0.9428571428571428,0.8979591836734694,0.9534883720930232,0.9157894736842104,0.945945945945946,0.9310344827586208,0.96,0.9333333333333332,0.9473684210526316,0.9655172413793104,0.9642857142857144,0.975,1.0,1.0,0.967741935483871,0.8787878787878788,1.0,0.9107142857142856,1.0,1.0,0.9245283018867924,0.9210526315789472,0.90625,0.9069767441860463,0.9310344827586208,0.9090909090909092,0.9166666666666666,1.0,1.0,0.979591836734694,0.9111111111111112,0.898989898989899,0.8363636363636363,0.9696969696969696,0.9411764705882352,0.972972972972973,0.96875,0.967741935483871,0.9636363636363636,1.0,1.0,0.9375,1.0,0.8842105263157894
align-dinov2+1b-things+hyp-abl90-local-shuffled-7,0.9803030303030305,0.0,1.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9333333333333332,1.0,1.0,0.6666666666666666,0.875,1.0,0.9,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.75,1.0,1.0,1.0,0.9444444444444444,1.0,0.8666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
align-dinov2+1b-things+hyp-abl20cat-shuffled-42,0.9629315223542728,0.0,0.9427083333333334,1.0,1.0,0.9548022598870056,1.0,1.0,1.0,1.0,0.9753086419753086,1.0,0.9605263157894736,0.9182692307692308,1.0,0.9722222222222222,0.9551282051282052,0.976470588235294,0.9699453551912568,1.0,0.9507042253521126,0.9533678756476685,0.9878048780487804,1.0,0.9879518072289156,1.0,0.9915254237288136,0.976,0.9185185185185184,1.0,1.0,1.0,0.9251336898395722,0.9482758620689656,0.9662447257383966,0.9509803921568628,0.8920863309352518,1.0,1.0,1.0,1.0,0.9029850746268656,0.9230769230769232,1.0,0.953020134228188,1.0,0.9906542056074766,0.9722222222222222,1.0,1.0,0.9375,1.0,0.9613259668508288,1.0,0.9438775510204082
