run_name,overall,total_illegal_ratio,furniture,seafood,fruit,body part,drink,tool,school supply,protective clothing item,food,vehicle,bird,container,outerwear,fastener,clothing accessory,piece of jewelry,construction equipment,musical,footwear,farm animal,sea animal,breakfast food,vegetable,safety equipment,home appliance,headwear,watercraft,insect,weapon,home decor item,source of light,kitchen appliance,electronic device,condiment,medical equipment,plant,garden tool,office supply item,dessert,personal hygiene item,mammal,animal,sports equipment,kitchen tool,arts and crafts item,piece of women's clothing,game,scientific equipment,toy,item of clothing,car part,candy,hardware item
align-dinov2+500m-things+hyp-abl40cat-218-random,0.9709388971684052,0.0,0.9774436090225564,0.9032258064516128,0.9727891156462584,0.925,1.0,0.9251700680272108,1.0,1.0,0.9924242424242424,0.9744897959183674,0.96875,1.0,1.0,0.9433962264150944,0.8983050847457628,1.0,1.0,1.0,0.9166666666666666,1.0,1.0,0.96,1.0,1.0,1.0,1.0,1.0,0.96,0.9626865671641792,1.0,1.0,1.0,0.968,0.9230769230769232,1.0,1.0,0.6896551724137931,1.0,1.0,1.0,1.0,1.0,1.0,0.95,0.9393939393939394,1.0,1.0,1.0,0.967741935483871,1.0,1.0,0.9615384615384616,1.0
align-dinov2+500m-things+hyp-abl30-7-random,0.9632407179739364,0.0,0.9941520467836256,0.9705882352941176,0.9558823529411764,0.9578947368421052,0.9682539682539684,0.9554655870445344,0.967741935483871,0.979381443298969,0.9835766423357664,0.97165991902834,1.0,0.9548387096774194,0.990990990990991,0.9411764705882352,0.9375,0.968421052631579,0.9236111111111112,0.9743589743589745,0.9897959183673468,1.0,0.9747899159663864,0.9375,0.9866666666666668,0.9375,0.9407894736842104,0.9550561797752808,0.9791666666666666,0.971153846153846,0.9177215189873418,0.9171270718232044,0.9519230769230768,0.9893617021276596,0.971153846153846,0.9887640449438202,0.8873239436619719,0.98125,0.946236559139785,0.97,0.9461077844311376,0.9302325581395348,0.9908256880733946,0.9947368421052633,0.9637305699481864,0.9621212121212122,0.9178082191780822,0.991150442477876,0.8962264150943396,0.9457364341085271,0.9371069182389936,0.988095238095238,0.9925925925925926,0.9772727272727272,0.9479166666666666
align-dinov2+500m-things+hyp-abl90-42-random,0.9114906832298136,0.0,0.85,1.0,1.0,0.875,0.75,1.0,1.0,1.0,0.967741935483871,0.9032258064516128,0.6666666666666666,0.8260869565217391,1.0,0.9090909090909092,1.0,1.0,1.0,1.0,1.0,1.0,0.9285714285714286,0.8571428571428571,1.0,0.8333333333333334,0.6153846153846154,1.0,1.0,0.9333333333333332,0.9130434782608696,0.8333333333333334,1.0,0.8,0.8947368421052632,0.8181818181818182,0.8888888888888888,0.8888888888888888,1.0,1.0,1.0,0.9,0.8888888888888888,0.9285714285714286,0.9047619047619048,1.0,1.0,1.0,1.0,0.8461538461538461,0.5,0.9444444444444444,1.0,0.8,0.9545454545454546
align-dinov2+500m-things+hyp-abl40cat-42-random,0.9687034277198212,0.0,0.9172932330827068,1.0,0.9727891156462584,0.85,1.0,0.9659863945578232,0.9655172413793104,1.0,0.9974747474747476,0.9744897959183674,1.0,1.0,1.0,0.981132075471698,0.8813559322033898,1.0,1.0,1.0,1.0,1.0,1.0,0.88,0.72,1.0,1.0,1.0,1.0,1.0,0.9328358208955224,1.0,1.0,0.9615384615384616,0.936,1.0,1.0,0.9666666666666668,0.9655172413793104,1.0,1.0,1.0,1.0,1.0,0.9642857142857144,0.9625,0.9292929292929292,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9130434782608696
align-dinov2+1b-things+hyp-abl30-218-random,0.9743053848045242,0.0,0.9824561403508772,1.0,0.9705882352941176,0.9578947368421052,0.9603174603174603,0.9554655870445344,0.9919354838709676,0.9896907216494846,0.9945255474452556,0.9757085020242916,0.9934640522875816,0.9483870967741936,0.963963963963964,0.9852941176470588,0.9027777777777778,0.9894736842105264,0.9583333333333334,0.9871794871794872,1.0,1.0,0.9915966386554622,0.9444444444444444,0.9733333333333334,0.9479166666666666,0.993421052631579,0.9887640449438202,0.9895833333333334,0.9615384615384616,0.9430379746835444,0.9392265193370166,0.971153846153846,1.0,0.9807692307692308,1.0,0.943661971830986,0.96875,0.989247311827957,0.99,0.9760479041916168,0.9534883720930232,1.0,1.0,0.9844559585492229,0.9393939393939394,0.9657534246575342,1.0,0.9245283018867924,0.9689922480620154,0.9559748427672956,0.996031746031746,0.9851851851851852,1.0,0.9479166666666666
align-dinov2+1b-things+hyp-abl40cat-218-random,0.977645305514158,0.0,0.962406015037594,0.967741935483871,0.9659863945578232,0.975,1.0,0.91156462585034,1.0,1.0,1.0,0.9642857142857144,1.0,1.0,0.92,0.981132075471698,0.9830508474576272,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9552238805970148,1.0,1.0,1.0,0.968,1.0,1.0,1.0,0.8620689655172413,1.0,1.0,1.0,1.0,1.0,0.9642857142857144,0.9375,0.9595959595959596,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
align-dinov2+500m-things+hyp-abl10cat-42-random,0.9765207053695264,0.0,0.9904761904761904,0.9824561403508772,0.963963963963964,0.9743589743589745,0.9936305732484076,0.9696048632218844,0.9876543209876544,1.0,0.9755395683453236,0.9785522788203752,0.9954954954954957,1.0,1.0,0.9668508287292816,0.9722222222222222,0.9856115107913668,0.9361702127659576,0.9954128440366972,0.9734513274336284,0.9455782312925172,1.0,0.9888888888888888,0.981981981981982,0.967741935483871,0.9748743718592964,0.9801980198019802,0.9877300613496932,1.0,0.9401709401709402,0.9572649572649572,0.9855072463768116,0.9602649006622516,0.990990990990991,1.0,0.9079754601226994,0.9953917050691244,1.0,0.9731543624161074,1.0,0.9903846153846154,0.9949874686716792,0.9985250737463128,0.9713375796178344,0.9230769230769232,0.9565217391304348,1.0,0.9666666666666668,1.0,0.9108910891089108,1.0,1.0,0.9703703703703704,0.9571428571428572
align-dinov2+500m-things+hyp-abl10-7-random,0.9741272783441458,0.0,0.9917695473251028,0.9941176470588236,0.9911111111111112,0.972972972972973,0.9948453608247424,0.9761273209549072,1.0,0.9938271604938272,0.9786476868327402,0.989010989010989,1.0,0.9592760180995475,0.9553072625698324,0.9753694581280788,0.961038961038961,0.9763313609467456,0.9669811320754716,0.9775784753363228,0.9540229885057472,0.9640718562874252,0.9817351598173516,0.979591836734694,0.9771689497716894,0.9757575757575756,0.9829787234042552,0.9933774834437086,0.971264367816092,0.993939393939394,0.916058394160584,0.9309090909090908,0.9668508287292816,0.9715909090909092,0.9791044776119404,0.9937106918238994,0.917098445595855,0.9915966386554622,0.9875776397515528,0.9760479041916168,0.966804979253112,0.9502487562189056,0.9974554707379136,1.0,0.9786585365853658,0.9251336898395722,0.949074074074074,0.9719101123595506,0.970414201183432,0.9428571428571428,0.9074074074074074,0.9903381642512076,0.9658536585365852,1.0,0.981012658227848
align-dinov2+1b-things+hyp-abl90-42-random,0.8788819875776398,0.0,0.95,1.0,0.9,0.625,0.9166666666666666,1.0,0.8461538461538461,0.6,0.967741935483871,0.935483870967742,0.8,0.8260869565217391,0.4,0.9090909090909092,0.7777777777777778,1.0,1.0,0.9444444444444444,1.0,0.6,0.9285714285714286,0.8571428571428571,0.8888888888888888,1.0,0.8461538461538461,0.8333333333333334,0.9,1.0,0.6956521739130435,0.75,1.0,1.0,0.8947368421052632,0.9090909090909092,0.7777777777777778,0.7777777777777778,1.0,1.0,1.0,0.9,1.0,0.9642857142857144,0.9047619047619048,0.8,1.0,1.0,0.3333333333333333,0.9230769230769232,1.0,0.7222222222222222,0.8,0.6,0.9545454545454546
align-dinov2+500m-things+hyp-abl30cat-218-random,0.9811409712399812,0.0,0.9548387096774194,1.0,0.9285714285714286,1.0,0.99,1.0,0.9777777777777776,0.95,0.9736842105263158,0.9753521126760564,1.0,1.0,1.0,1.0,0.9782608695652174,0.9857142857142858,1.0,0.9937888198757764,0.9852941176470588,0.9705882352941176,1.0,1.0,1.0,1.0,1.0,0.9859154929577464,0.9716981132075472,1.0,0.9428571428571428,1.0,0.971830985915493,1.0,0.96,1.0,0.9270833333333334,0.9912280701754386,1.0,1.0,1.0,0.9901960784313726,0.9967105263157896,0.994579945799458,0.9761904761904762,1.0,1.0,1.0,1.0,1.0,0.9469026548672568,0.979381443298969,0.9833333333333332,1.0,0.9272727272727272
